Participant Number,GroupNumber,WPM,Accuracy,ErrorRate,MouseTime,Clicks,Backspaces,Scrolls,TotalTime,CorrectChars,IncorrectFixed,IncorrectNotFixed,Keyboard,Task,TaskCode,Original Keyboard,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration Level,PreferenceMatch
13,1,16.3,69.7,30.3,0.0,0,71,0,120.0,163,71,0,KB1 (60%),Task B · Number Entry,B,100,8,8,10,2,9,9,0
15,3,31.7,88.3,11.7,0.0,0,41,0,117.507,310,41,0,KB1 (60%),Task B · Number Entry,B,Both,7,8,4,5,5,2,1
16,4,22.6,82.8,17.2,0.0,0,47,0,120.0,226,47,0,KB1 (60%),Task B · Number Entry,B,65,6,2,2,4,2,2,0
17,5,35.4,90.6,9.4,0.0,0,32,0,104.37,308,32,0,KB1 (60%),Task B · Number Entry,B,60,4,3,3,9,4,3,1
18,6,29.9,90.9,9.1,0.0,0,30,0,120.0,298,30,0,KB1 (60%),Task B · Number Entry,B,100,6,6,8,7,8,6,0
19,1,18.5,83.3,16.7,2.121,0,37,0,120.0,185,37,0,KB1 (60%),Task B · Number Entry,B,Laptop,6,7,7,2,8,8,0
20,2,20.8,84.2,15.9,0.0,0,38,0,120.0,207,38,1,KB1 (60%),Task B · Number Entry,B,Laptop,8,8,9,5,8,9,0
1,1,34.1,86.1,13.9,0.0,0,50,0,109.15,310,50,0,KB1 (60%),Task B · Number Entry,B,TKL,8,5,6,3,6,6,0
10,4,28.4,93.7,4.6,4.37,2,14,0,120.0,289,14,0,KB1 (60%),Task B · Number Entry,B,60,6,5,6,4,6,5,1
14,2,41.8,89.0,10.1,0.0,0,35,0,88.197,310,35,0,KB1 (60%),Task B · Number Entry,B,60,3,3,2,6,7,1,1
21,3,17.7,83.9,16.1,0.0,0,34,0,120.0,177,34,0,KB1 (60%),Task B · Number Entry,B,75,3,4,5,4,3,3,0
22,4,32.8,90.6,9.4,0.0,0,32,0,112.661,308,32,0,KB1 (60%),Task B · Number Entry,B,75,4,3,3,4,3,2,0
23,5,35.0,93.9,6.1,0.0,0,20,0,105.666,308,20,0,KB1 (60%),Task B · Number Entry,B,60,2,3,3,10,4,2,1
6,6,24.3,88.0,12.0,0.0,0,33,0,120.0,243,33,0,KB1 (60%),Task B · Number Entry,B,100,4,10,4,9,4,7,0
24,6,38.0,89.5,10.5,0.075,0,36,0,97.39,308,36,0,KB1 (60%),Task B · Number Entry,B,60,6,3,4,6,5,4,1
25,1,30.2,81.8,18.2,0.0,0,66,0,120.0,302,66,1,KB1 (60%),Task B · Number Entry,B,Laptop,9,9,9,5,9,10,0
26,2,19.4,93.3,6.7,0.0,0,14,0,120.0,194,14,0,KB1 (60%),Task B · Number Entry,B,Laptop,4,4,3,5,6,2,0
27,3,46.6,88.8,10.7,3.111,2,37,0,79.324,310,37,0,KB1 (60%),Task B · Number Entry,B,100,6,1,1,8,1,1,0
29,5,38.5,86.5,13.5,0.0,0,48,0,95.916,308,48,0,KB1 (60%),Task B · Number Entry,B,60,8,3,8,7,9,3,1
28,4,30.5,89.7,10.3,0.0,0,35,0,120.0,306,35,0,KB1 (60%),Task B · Number Entry,B,100,6,4,4,7,4,2,0
33,2,25.0,95.1,4.9,0.434,0,13,0,120.0,251,13,0,KB1 (60%),Task B · Number Entry,B,60,6,3,5,6,4,2,1
32,1,8.9,37.7,16.1,11.972,9,35,0,120.0,198,35,3,KB1 (60%),Task B · Number Entry,B,60,3,1,3,7,3,2,1
2,2,30.2,88.2,12.5,0.0,0,43,0,120.0,302,43,0,KB2 (100%),Task B · Number Entry,B,75,2,2,2,5,2,2,0
3,3,38.2,87.3,12.7,0.0,0,45,0,96.711,308,45,0,KB2 (100%),Task B · Number Entry,B,100,7,7,3,6,3,4,1
4,4,32.0,80.2,15.3,0.0,0,56,0,116.136,310,56,0,KB2 (100%),Task B · Number Entry,B,96,4,4,5,5,6,5,0
5,5,26.2,87.3,12.7,0.0,0,38,0,120.0,262,38,0,KB2 (100%),Task B · Number Entry,B,100,2,2,3,8,4,3,1
12,6,21.2,80.6,15.6,0.0,0,41,0,120.0,221,41,0,KB2 (100%),Task B · Number Entry,B,100,5,4,5,8,5,3,1
11,5,27.3,84.8,5.9,0.0,0,18,0,120.0,303,18,1,KB2 (100%),Task B · Number Entry,B,100,5,3,7,8,6,1,1
7,1,45.3,86.8,13.2,0.0,0,47,0,81.506,308,47,0,KB2 (100%),Task B · Number Entry,B,75,6,5,9,7,6,4,0
8,2,27.0,85.2,14.5,0.0,0,46,0,120.0,271,46,0,KB2 (100%),Task B · Number Entry,B,100,7,7,7,8,5,4,1
9,3,41.1,89.2,10.5,0.0,0,36,0,89.58,308,36,0,KB2 (100%),Task B · Number Entry,B,70,8,4,4,9,5,2,0
13,1,24.2,79.9,20.1,0.0,0,61,0,120.0,243,61,0,KB2 (100%),Task B · Number Entry,B,100,6,6,8,5,8,7,1
15,3,32.8,87.8,10.7,0.0,0,37,0,110.737,308,37,0,KB2 (100%),Task B · Number Entry,B,Both,6,9,3,5,6,2,1
16,4,20.0,76.9,23.2,0.0,0,59,0,120.0,199,59,1,KB2 (100%),Task B · Number Entry,B,65,7,7,6,3,7,3,0
17,5,29.5,86.8,13.2,0.0,0,44,0,120.0,295,44,1,KB2 (100%),Task B · Number Entry,B,60,6,7,7,8,6,7,0
18,6,27.6,82.6,15.6,0.0,0,52,0,120.0,282,52,0,KB2 (100%),Task B · Number Entry,B,100,8,9,10,4,9,10,1
19,1,19.5,85.5,14.5,0.0,0,33,0,120.0,195,33,0,KB2 (100%),Task B · Number Entry,B,Laptop,6,6,6,4,7,7,0
20,2,20.7,83.8,16.2,0.0,0,38,0,120.0,207,38,2,KB2 (100%),Task B · Number Entry,B,Laptop,6,6,8,7,7,6,0
1,1,40.9,82.6,17.2,0.0,0,64,0,90.44,308,64,0,KB2 (100%),Task B · Number Entry,B,TKL,5,4,5,6,5,5,0
10,4,19.9,86.1,13.9,0.0,0,32,0,120.0,199,32,0,KB2 (100%),Task B · Number Entry,B,60,8,4,6,4,6,5,0
14,2,39.6,86.6,12.3,0.0,0,43,0,92.187,308,43,0,KB2 (100%),Task B · Number Entry,B,60,4,2,3,6,5,1,0
21,3,16.3,83.2,16.8,0.0,0,33,0,120.0,163,33,0,KB2 (100%),Task B · Number Entry,B,75,3,4,4,4,3,3,0
22,4,29.7,86.8,12.5,0.0,0,43,0,120.0,300,43,0,KB2 (100%),Task B · Number Entry,B,75,3,2,3,3,2,2,0
23,5,30.4,95.0,5.0,0.0,0,16,0,120.0,304,16,0,KB2 (100%),Task B · Number Entry,B,60,3,5,5,9,3,2,0
6,6,22.4,73.7,25.7,0.0,0,78,0,120.0,226,78,0,KB2 (100%),Task B · Number Entry,B,100,4,7,3,8,4,2,1
24,6,33.1,86.0,12.9,7.343,4,46,0,110.947,310,46,0,KB2 (100%),Task B · Number Entry,B,60,6,7,6,6,5,4,0
25,1,27.7,74.5,25.5,0.0,0,90,0,120.0,277,90,5,KB2 (100%),Task B · Number Entry,B,Laptop,10,9,9,4,10,9,0
26,2,18.4,88.9,11.1,0.0,0,23,0,120.0,184,23,0,KB2 (100%),Task B · Number Entry,B,Laptop,6,7,7,3,8,5,0
27,3,45.0,84.3,14.9,0.0,0,54,0,81.404,308,54,0,KB2 (100%),Task B · Number Entry,B,100,3,1,1,5,3,4,1
